Sex,Age,Class,Survived,Sibling/Spouse
female,38,3,0,0
female,34,1,0,0
male,32,3,0,2
male,47,1,0,0
female,27,3,0,2
male,32,2,0,1
male,25,1,0,0
male,21,3,0,0
male,30,3,0,0
female,36,3,0,2
male,34,3,0,0
male,42,3,0,1
male,40,3,0,1
female,36,3,1,1
female,21,2,0,0
male,32,3,1,0
male,43,2,1,0
female,27,3,1,0
male,36,3,0,0
female,34,3,0,0
male,28,2,0,0
male,46,2,0,0
male,39,3,0,0
male,13,1,0,0
female,22,2,1,0
male,28,2,0,0
female,50,2,1,0
male,25,3,0,0
male,42,3,1,0
female,34,1,1,0
male,18,3,0,0
male,33,3,0,0
male,21,3,1,0
male,34,3,0,1
male,10,3,0,1
female,37,1,0,1
female,45,1,1,1
female,31,3,1,0
male,37,1,0,0
male,29,3,0,1
female,9,2,1,2
male,25,3,0,0
male,0,3,0,0
female,36,3,0,2
female,28,3,0,1
male,38,3,0,0
male,28,3,1,0
female,48,1,1,0
male,30,3,0,0
male,40,1,0,0
male,22,3,0,0
male,22,1,0,2
female,36,3,0,0
male,41,2,0,0
male,26,3,1,0
male,41,1,0,0
male,23,3,1,0
male,36,3,1,1
male,23,1,0,1
female,37,1,1,2
female,40,3,0,0
female,40,2,0,1
male,29,1,0,0
male,17,3,1,0
female,17,1,1,0
male,35,2,0,0
female,24,1,1,0
male,39,3,1,0
male,15,3,0,1
male,30,2,1,1
female,31,3,0,0
male,22,3,1,0
female,23,2,1,0
female,12,3,1,1
female,23,2,0,0
male,55,1,0,0
male,53,3,0,1
female,21,2,0,0
male,27,3,1,2
female,36,1,0,1
female,9,2,0,0
female,28,2,1,2
male,33,3,0,0
male,22,3,0,1
female,33,3,1,0
female,38,3,1,2
male,34,3,0,0
male,33,1,0,1
male,29,3,1,2
male,37,2,0,0
male,42,2,1,0
male,26,1,0,1
male,2,2,1,0
male,30,2,0,0
male,20,2,1,1
female,45,3,1,0
male,9,3,1,0
male,58,3,0,0
male,41,3,0,0
female,15,1,0,0
male,35,3,0,0
female,30,3,0,0
male,21,1,0,0
female,27,3,1,0
male,33,3,0,0
male,23,3,1,2
female,9,3,0,0
female,32,3,0,1
female,12,1,0,0
male,42,1,1,0
female,44,3,0,0
female,36,3,0,1
male,36,3,0,0
male,33,3,0,0
male,25,2,1,0
male,28,2,1,0
female,21,3,1,1
male,27,3,1,0
male,49,3,0,0
male,46,1,1,0
male,24,3,0,1
male,33,3,0,0
male,21,3,0,0
male,30,3,0,1
female,27,2,1,0
male,18,1,0,0
female,34,1,0,0
male,16,3,1,0
male,49,1,0,1
male,19,2,0,0
male,19,1,1,1
male,28,1,0,0
female,15,2,0,0
male,30,2,0,1
female,38,1,0,0
female,41,1,0,1
female,28,3,0,1
male,36,2,1,0
female,28,1,1,0
female,24,3,1,0
male,23,3,1,0
female,38,3,0,0
male,17,3,1,0
male,13,2,1,1
male,13,1,0,0
female,23,2,0,0
female,35,2,0,1
female,32,2,0,0
female,37,3,1,0
