Sex,Age,Class,Survived,Sibling/Spouse
Female,75,2,Yes,4
Female,93,2,Yes,1
Male,94,1,No,3
Male,70,3,Yes,1
Female,97,2,Yes,4
Female,63,1,No,0
Female,86,3,Yes,2
Female,91,2,Yes,2
Female,81,1,No,3
Male,68,3,No,4
Male,82,2,Yes,0
Female,89,3,No,4
Male,89,1,No,4
Female,91,1,No,4
Female,81,1,No,4
Male,62,2,Yes,2
Male,58,1,No,3
Female,72,3,Yes,2
Male,81,2,No,4
Male,82,1,Yes,4
Male,73,2,No,3
Female,71,3,No,0
Male,73,1,Yes,2
Male,83,2,Yes,3
Female,70,3,No,1
Male,63,3,Yes,0
Male,83,2,No,1
Male,82,3,No,3
Female,81,3,No,0
Male,84,2,Yes,4
Male,63,2,Yes,3
Male,83,2,Yes,4
Female,87,3,No,3
Female,73,2,Yes,0
Female,71,3,No,0
Female,81,2,No,0
Female,73,2,Yes,4
Male,86,1,No,0
Male,94,2,Yes,0
Male,83,3,No,3
Female,100,3,No,3
Female,95,2,No,2
Female,77,2,Yes,1
Female,83,1,No,2
Female,96,2,Yes,4
Female,77,1,Yes,2
Male,70,2,Yes,4
Female,68,3,No,3
Female,90,3,Yes,0
Male,70,3,No,3
Male,68,2,No,3
Female,76,1,No,3
Male,82,1,Yes,1
Male,79,2,Yes,3
Female,89,3,Yes,2
Female,80,1,Yes,0
Female,78,1,Yes,3
Male,75,3,No,4
Female,82,2,Yes,0
Male,88,2,No,0
Male,61,3,Yes,4
Female,77,3,Yes,1
Female,83,2,Yes,4
Male,82,2,Yes,2
Female,74,3,Yes,4
Female,87,3,No,4
Female,87,2,Yes,0
Female,91,3,No,4
Male,84,3,Yes,3
Male,77,2,Yes,0
Female,77,2,Yes,0
Female,83,1,No,0
Male,71,1,No,0
Male,76,2,Yes,1
Male,84,1,No,3
Male,73,3,No,1
Female,81,1,Yes,2
Female,82,3,Yes,1
Female,80,1,No,0
Male,82,2,Yes,3
Female,76,2,Yes,1
Male,77,1,Yes,1
Male,85,3,Yes,3
Female,70,3,Yes,1
Female,76,1,No,3
Male,82,3,Yes,2
Female,73,3,No,1
Female,71,1,Yes,3
Male,86,1,No,0
Female,73,2,Yes,3
Male,78,2,Yes,3
Male,72,3,Yes,0
Female,80,1,Yes,1
Female,69,2,Yes,0
Female,81,1,Yes,1
Male,69,2,Yes,4
Female,72,3,No,3
Female,88,2,No,4
Male,75,1,No,4
Female,90,2,Yes,2
Female,66,2,Yes,0
Female,85,2,Yes,0
Female,89,3,No,0
Male,88,3,Yes,3
Male,73,2,Yes,0
Male,83,2,No,2
Male,88,2,No,3
Male,75,3,No,2
Female,94,2,Yes,2
Female,81,3,Yes,3
Female,76,3,No,1
Female,70,2,Yes,1
Female,91,1,No,1
Female,85,2,Yes,4
Female,78,1,No,1
Male,73,1,No,4
Male,87,3,No,0
Male,61,1,Yes,3
Male,72,2,No,0
Male,74,3,No,0
Male,82,1,Yes,0
Female,77,1,No,2
Female,80,2,No,4
Female,79,3,No,0
Female,72,3,Yes,4
Female,65,2,Yes,4
Female,67,2,No,4
Male,89,2,Yes,1
Male,87,3,No,2
Female,90,1,Yes,0
Female,90,2,Yes,2
Male,69,1,Yes,3
Male,79,2,Yes,0
Female,77,1,Yes,2
Male,79,3,Yes,1
Male,79,1,Yes,3
Male,89,3,Yes,1
Female,94,2,Yes,2
Female,88,2,No,2
Female,83,3,No,3
Female,81,3,No,1
Female,69,1,No,2
Male,71,1,No,2
Female,86,1,Yes,4
Male,94,1,No,2
Female,73,3,No,1
Male,68,3,Yes,1
Male,69,3,Yes,1
Male,89,3,No,4
Female,81,1,Yes,0
Female,94,3,No,4
Female,78,3,Yes,2
Male,98,1,Yes,3
Female,75,2,Yes,0
Male,81,3,Yes,0
Male,79,3,No,2
Male,74,3,No,1
Male,82,1,Yes,4
Female,80,2,No,0
Male,78,3,No,0
Female,77,2,No,3
Male,95,2,No,3
Female,65,2,Yes,4
Female,75,3,Yes,1
Female,83,3,No,0
Male,89,2,No,0
Male,85,1,Yes,0
Male,82,3,Yes,0
Male,61,1,Yes,2
Male,84,2,No,0
Male,80,3,No,4
Female,89,3,Yes,0
Male,82,2,Yes,1
Male,66,2,No,1
Female,79,3,Yes,0
Male,90,1,Yes,4
Male,84,1,No,0
Female,80,2,Yes,0
Female,79,2,No,1
Male,69,3,Yes,3
Male,87,3,Yes,1
Male,76,1,No,2
Female,87,1,No,3
Male,68,3,No,2
Male,80,2,No,1
Male,88,3,Yes,0
Male,89,1,No,2
Female,85,3,Yes,1
Male,79,2,Yes,1
Male,84,3,Yes,4
Male,80,1,No,1
Male,90,3,No,2
Female,85,3,Yes,4
Female,74,1,No,3
Male,85,3,Yes,4
Male,91,1,No,0
Female,87,3,No,4
Female,88,1,No,3
Female,89,2,No,2
Male,72,3,No,4
